epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1994.5,0.99316,0.71263,1.34689,0.80221,0.6631,0.74687,0.47193,1.1612,0.84914,1.60016,0.0003862,0.0003862,0.0003862
64,2028.5,1.00062,0.72404,1.34101,0.84692,0.67598,0.78887,0.49181,1.13147,0.79944,1.58826,0.0003763,0.0003763,0.0003763
65,2060.35,0.98505,0.71434,1.35131,0.73533,0.78125,0.79285,0.48573,1.15565,0.801,1.62198,0.0003664,0.0003664,0.0003664
66,2086.74,0.97815,0.70475,1.3511,0.79476,0.69643,0.76751,0.47091,1.11286,0.82863,1.58336,0.0003565,0.0003565,0.0003565
67,2113.28,0.9842,0.72309,1.35185,0.79807,0.71271,0.76953,0.48055,1.13159,0.79598,1.59914,0.0003466,0.0003466,0.0003466
68,2139.87,0.96867,0.7032,1.33852,0.79147,0.73413,0.78539,0.49016,1.14377,0.83523,1.59406,0.0003367,0.0003367,0.0003367
69,2165.93,0.9829,0.71284,1.35053,0.7694,0.74405,0.76898,0.4857,1.12782,0.83693,1.56765,0.0003268,0.0003268,0.0003268
70,2191.84,0.98335,0.72058,1.34136,0.7872,0.7131,0.77614,0.48408,1.12473,0.80016,1.57307,0.0003169,0.0003169,0.0003169
71,2218.04,0.95618,0.69476,1.33711,0.80155,0.69881,0.76957,0.48156,1.10265,0.83538,1.54279,0.000307,0.000307,0.000307
72,2244.11,0.97482,0.71549,1.33127,0.76985,0.69927,0.7595,0.48007,1.09793,0.82842,1.56065,0.0002971,0.0002971,0.0002971
73,2270.22,0.95892,0.67295,1.33156,0.81579,0.70833,0.78727,0.48475,1.14267,0.82138,1.60519,0.0002872,0.0002872,0.0002872
74,2297.77,0.9304,0.66168,1.32204,0.78503,0.70647,0.76186,0.47698,1.14738,0.81427,1.59353,0.0002773,0.0002773,0.0002773
75,2336.71,0.93863,0.67109,1.31807,0.74874,0.725,0.75707,0.46393,1.13615,0.83397,1.58172,0.0002674,0.0002674,0.0002674
76,2368.27,0.9387,0.66234,1.30791,0.7118,0.77262,0.78108,0.49056,1.09692,0.80557,1.55499,0.0002575,0.0002575,0.0002575
77,2399.85,0.93257,0.66728,1.31012,0.74441,0.7369,0.7678,0.48866,1.11665,0.82168,1.57799,0.0002476,0.0002476,0.0002476
78,2426.87,0.92416,0.661,1.30039,0.69255,0.76439,0.77479,0.49409,1.1387,0.80049,1.60309,0.0002377,0.0002377,0.0002377
